SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,DAY,SPOOL,SUBST,LISTSUB,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200203,,1,TEMP,DB,0.8,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200204,,1,TEMP,DB,2.7,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200205,,1,TEMP,DB,11.92,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200206,,1,TEMP,DB,14.95,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200210,,1,TEMP,DB,7.85,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200211,,1,TEMP,DB,5.79,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200211,,1,TEMP,DB,5.59,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200202,,1,TEMP,DB,2.66,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200203,,1,TEMP,DB,15.99,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200207,,1,TEMP,DB,14.34,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200208,,1,TEMP,DB,14.42,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200208,,1,TEMP,DB,14.27,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200209,,1,TEMP,DB,12.9,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200211,,1,TEMP,DB,8.1,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200212,,1,TEMP,DB,5.4,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200203,,1,TEMP,DB,0.5,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200204,,1,TEMP,DB,2,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200205,,1,TEMP,DB,13.48,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200206,,1,TEMP,DB,16.45,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200210,,1,TEMP,DB,7.38,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200211,,1,TEMP,DB,5.33,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200211,,1,TEMP,DB,4.98,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200212,,1,TEMP,DB,2.13,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,TEMP,DB,-4.93,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,TEMP,DB,16.03,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,TEMP,DB,12.07,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,TEMP,DB,13.61,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,TEMP,DB,0.12,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200201,,1,TEMP,DB,1.9,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200202,,1,TEMP,DB,3.17,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200203,,1,TEMP,DB,3.11,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200204,,1,TEMP,DB,5.78,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200205,,1,TEMP,DB,8,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200206,,1,TEMP,DB,11.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,12.18,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200210,,1,TEMP,DB,7.64,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,2.84,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,2.63,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200202,,1,TEMP,DB,1.82,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200203,,1,TEMP,DB,2.18,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200206,,1,TEMP,DB,12.95,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200207,,1,TEMP,DB,14.24,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200209,,1,TEMP,DB,13.03,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,8.65,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200201,,1,TEMP,DB,1.4,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200202,,1,TEMP,DB,3.7,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200203,,1,TEMP,DB,3.38,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200204,,1,TEMP,DB,6.71,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200205,,1,TEMP,DB,7.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200206,,1,TEMP,DB,11.2,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,11.56,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200210,,1,TEMP,DB,6.93,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200212,,1,TEMP,DB,2.28,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,-0.64,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,0.64,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,TEMP,DB,9.84,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,23.39,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,12.56,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,TEMP,DB,1.06,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,TEMP,DB,10.21,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,15.11,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200201,,1,TEMP,DB,0.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200202,,1,TEMP,DB,1,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,15.6,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,14.92,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,15.19,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,12.4,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,2.75,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,4.6,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,2.62,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,2.87,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200204,,1,TEMP,DB,5.02,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,10.2,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,10.36,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200206,,1,TEMP,DB,13.06,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200209,,1,TEMP,DB,15.1,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,8.55,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,10,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200201,,1,TEMP,DB,0.3,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200202,,1,TEMP,DB,0.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200207,,1,TEMP,DB,16.65,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,15.12,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,15.7,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,12.02,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,-3.17,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,13.69,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,3.58,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,TEMP,DB,8.24,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,4.21,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,12.16,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,29.57,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,15.7,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,-5.21,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,-2.75,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,11.42,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200206,,1,TEMP,DB,14.36,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,15.16,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,12.63,oC,,XZ
