SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,SPOOL,SUBST,LISTSUB,PRETRE,DETER,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,CA,DB,,AAF,0.11,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,CL,DB,,IC,4.44,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,COND,DB,,CN,2.76,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,DOC,DB,,,1.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,K,DB,,AAF,0.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,MG,DB,,AAF,0.28,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,,DB,,AAF,2.4,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,NH4N,DB,,SP,0.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,NO3N,DB,,IC,0.23,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,NTOT,DB,,IC,0.334,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,PH,DB,,TIE,4.7,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,PREC,DB,,,89,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201501,1,SO4S,DB,,IC,0.32,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,CA,DB,,AAF,0.05,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,CL,DB,,IC,0.71,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,COND,DB,,CN,1.87,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,DOC,DB,,,1.9,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,K,DB,,AAF,0.13,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,MG,DB,,AAF,0.05,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,,DB,,AAF,0.41,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,NH4N,DB,,SP,0.4,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,NO3N,DB,,IC,0.56,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,NTOT,DB,,IC,1.166,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201502,1,PH,DB,,TIE,4.6,,,
